palavra,iteracao,tempo,memoria_pico_kb
ngnbksglwxycilmxedwmtjzskztpooejnsfvkeupexohasbdnpgnhrccgqaftdllbdhedoktqffyjwzyniimikvqdaunqdtzavk,1,0.000001,904
ynyihdepxhawovnscxndvssibsfqxvijiolgxjfultgr,1,0.000001,904
nogtbriuwqakmozyxgnbnmmikwirmkiiuwbsnokhbdkbgrxwqxbpgtgmtnnooeclhyzwglhgdupgidiewpvseuiucvzpbmryakf,1,0.000001,904
qosniezyzovrwaoyydmpolrapvnaaiejmxhvareuadtek,1,0.000001,904
vxqxitshlemqprtqrnvyiteccdwgytkkddzzpxcpebssgukdycyrwquevgsiqeokouamyztukvlinvgvxdllszbtvcveukrvont,1,0.000001,904
zmvjdffigmqirawfbhdruhfzfctxezuizactzxqayvwnwt,1,0.000001,904
abkrttnbqxfjtbzpbcfarxldhcplpxbbyhgxbuwbtuknbzgkistrredrwlwvbqaabujlxbnjsgjwoskzpznhjdtrcnezakimuec,1,0.000001,904
niscyvfrkirmzvuhyeitvrwiyietgyeynqgjwzxetkjiomi,1,0.000001,904
twwwlcnlixetzdtqmkbczoggwdlywhcffwpezjnjrbvzsjfmifkszhksaqdjrvwddpifpdtktyisaelqvuegmbcjwnqguiyrnuk,1,0.000001,904
nhxjsjkzdxjffbrrixjnbwwnofmwmoidoxyskfwyzvnwzhlc,1,0.000001,904
shwmyrusinvrfwcegovadrzqgyhyrkwhpelpykhheooigyaxqxivlrubjfduuyynwypuxqkfwjkhkxocpdcdgfhfbazksmyghbm,1,0.000001,904
fkjphdiczwnvgcujqhhtlfxjvzyputrabnqhyxwrewjqjhkcf,1,0.000001,904
ogmprwgufwlgneemwxcnvmlaybnpciaghdjbhfhgmssbryzepijksqkbertxafbfaizcibfctefljzksoiyrfqjhneyrtrdnsaz,1,0.000001,904
srlmrwfipfzbmurnielweevgviveheejsnklpzhvshljnbojwo,1,0.000001,904
